source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Get Britain Out,,2019-05-09 11:14:56,"Quite right!! We need a PM who will deliver the No Deal Brexit we voted for!! Andrea Leadsom, a former ally of Theresa May, has launched a scathing attack on her. May's time as PM must end now. Time to go!!!  https://www.thesun.co.uk/news/brexit/9026895/brexit-deal-theresa-may-andrea-leadsom/",1500,1400,9,67,2,,30,300,1814272328718596,https://mbasic.facebook.com/story.php?story_fbid=1814272328718596&id=136556343156878
Get Britain Out,,2019-05-08 18:55:00,The Local Elections were a sideshow compared to the European Elections. The Brexit Party did not stand in the Local Elections and it is widely expected to dominate the European Elections on May 23rd. Then the establishment parties will learn the true extent of our dissatisfaction over their failure to deliver Brexit!  https://capx.co/the-true-test-of-brexit-opinion-will-come-on-may-23/,876,810,4,62,,,,85,1813692538776575,https://mbasic.facebook.com/story.php?story_fbid=1813692538776575&id=136556343156878
Get Britain Out,The Bruges Group,2019-05-08 17:57:00,"Whilst Labour and Conservative front benches complain and bicker about each other, they have failed to deliver for the British people and enact the Brexit we voted for.  Their abject failure has opened the doors to Nigel Farage, whose Brexit Party look set to dominate the European Elections on May 23rd.  https://www.telegraph.co.uk/politics/2019/05/08/westminster-playing-nigel-farages-hands-shabby-approach-brexit/",2200,2000,27,140,1,,4,190,1813615922117570,https://mbasic.facebook.com/story.php?story_fbid=1813615922117570&id=136556343156878
Get Britain Out,The Bruges Group,2019-05-08 16:52:27,He is only interested in the result he wants! Guy Verhofstadt demands that Turkey respects the result of a vote and yet he has repeatedly called for a Second Referendum in the UK and for the largest democratic vote ever taken by the UK to be disregarded! Disgraceful!!  https://www.express.co.uk/news/politics/1124249/brexit-mep-guy-verhofstadt-istanbul-mayoral-election-erdogan-akp,1400,563,195,3,20,7,690,566,1813612975451198,https://mbasic.facebook.com/story.php?story_fbid=1813612975451198&id=136556343156878
Get Britain Out,The Bruges Group,2019-05-08 13:23:00,"The Conservative Backbench 1922 Committee must do its duty to the Party and to the nation and remove Theresa May, who has consistently acted against the interest of the nation and her Party. All patience with Theresa May has end. Time to go!  https://www.telegraph.co.uk/politics/2019/05/07/graham-brady-must-do-duty-force-pms-long-overdue-departure/",1500,1300,24,69,1,,18,303,1813427425469753,https://mbasic.facebook.com/story.php?story_fbid=1813427425469753&id=136556343156878
Get Britain Out,,2019-05-08 11:55:00,"We must leave the EU is on WTO Terms, without a Deal. This is the only way the Brexit the British people voted for can be delivered!!   https://www.thesun.co.uk/news/brexit/9020194/nigel-farage-brexit-party-negotiations/",1700,1600,11,118,2,,2,137,1813411085471387,https://mbasic.facebook.com/story.php?story_fbid=1813411085471387&id=136556343156878
Get Britain Out,,2019-05-08 11:28:58,The Conservative Backbench 1922 Committee have given Theresa May until 4pm today to set out clearly how and when she will step down as Prime Minister. This is in reaction to the announcement by the Government that the UK will participate in the European Elections. Everyone has had enough of Theresa May as PM. Time to go!! https://www.telegraph.co.uk/politics/2019/05/07/tory-mps-give-theresa-may-one-day-set-roadmap-exit/,2000,1700,125,94,9,2,38,664,1813409272138235,https://mbasic.facebook.com/story.php?story_fbid=1813409272138235&id=136556343156878
Get Britain Out,,2019-05-08 11:22:21,The Conservative an Labour Parties remain no closer to compromise Deal over Brexit. Both parties are now seeking to strike a Deal over a Customs compromise. This not what people voted for and flies in the face of the 17.4 million who voted to leave the EU. This is not acceptable and is abject betrayal of the British people!   https://www.thetimes.co.uk/article/customs-compromise-a-million-miles-away-from-labour-demand-mrntk90bs,1000,533,68,6,4,8,466,360,1813406095471886,https://mbasic.facebook.com/story.php?story_fbid=1813406095471886&id=136556343156878
Get Britain Out,,2019-05-07 18:57:29,"EU President Jean-Claude Juncker has just come out saying that if he was allowed to campaign in the EU Referendum, Remain would have won! The arrogance is unbelievable, for an un-elected European Federalist to preach at the British people would have only increased the Leave share of the vote!!",2800,1500,564,10,23,6,777,863,1812865765525919,https://mbasic.facebook.com/story.php?story_fbid=1812865765525919&id=136556343156878
Get Britain Out,,2019-05-07 18:47:00,"If Theresa May had resolved Brexit, this could have been avoided. She is the root cause our the failure to leave the EU and the Conservative Party's decline. We need a Prime Minister who will deliver the No Deal, WTO Rules Brexit we voted for and desire!  https://www.telegraph.co.uk/politics/2019/05/07/hard-working-conservative-councillors-have-sacrificed-altar/",2500,2K,80,18,4,25,346,429,1812757705536725,https://mbasic.facebook.com/story.php?story_fbid=1812757705536725&id=136556343156878
Get Britain Out,,2019-05-07 18:01:44,"European Common Defence, and specifically the creation of a European Military, are not about the noble aim of protecting our neighbourhood, they are about driving through a federalist vision of Europe that the people, especially the British people, do not want, and would be less secure for having.  http://www.thecommentator.com/article/7372/mps_are_ignoring_the_sell_out_of_our_military_to_the_eu",718,326,2,3,8,5,374,124,1812807312198431,https://mbasic.facebook.com/story.php?story_fbid=1812807312198431&id=136556343156878
Get Britain Out,,2019-05-07 17:39:33,The UK is joint first with 1.3%. Germany is languishing on 0.5% and Italy barely has its head above water on 0.1%. The UK is leading the way and this will only improve when we leave the EU with No Deal and we can begin trading with the rest of the world on WTO Terms.  https://order-order.com/2019/05/07/eu-slashes-german-growth-forecasts-0-5/,1400,1100,203,49,11,,7,173,1812742198871609,https://mbasic.facebook.com/story.php?story_fbid=1812742198871609&id=136556343156878
Get Britain Out,,2019-05-07 17:22:54,Breaking News!  Cabinet Office Minister David Lidington has confirmed the UK will take part in the European Elections on the 23rd May!  The UK was meant to leave the EU on the 29th March 2019 and now we are confirmed to be participating in another round of European Elections. This is a disgrace and a blatant disregard for the democratic wishes of the British people. We voted to leave the EU and our participation in European Elections is a mockery of our Parliament's ability to implement the wishes of the electorate! We deserve better a better political class who will actually act on the wishes of the constituents they claim to serve!!,4500,3200,21,62,16,15,1100,862,1812786275533868,https://mbasic.facebook.com/story.php?story_fbid=1812786275533868&id=136556343156878
Get Britain Out,,2019-05-07 16:42:00,"Further bad news for the Conservative Party as Nigel Farage is in talks with Tory donors to fund his Party for a major push in a general election. The Brexit Party says it will contest all 650 Tory seats in Parliament, and in an attempt to create a ""clean break Brexit"". https://www.express.co.uk/news/politics/1123773/brexit-news-latest-brexit-party-nigel-farage-conservative-party-donors-theresa-may",4000,3600,57,366,12,,2,366,1812736472205515,https://mbasic.facebook.com/story.php?story_fbid=1812736472205515&id=136556343156878
Get Britain Out,,2019-05-07 13:45:00,Brexiteer Steve Baker MP argues that Theresa May's Deal should be abandoned once and for all and no compromise should be reached with Labour. Her Deal is rotten and the British people know it! It is fundamentally damaging to our Country and does not secure the exit from the EU that we voted for!   https://www.conservativehome.com/platform/2019/05/steve-baker-what-madness-is-this-that-a-conservative-prime-minister-would-rather-negotiate-with-corbyn-than-deliver-on-democracy.html,740,662,2,26,1,1,48,79,1812523775560118,https://mbasic.facebook.com/story.php?story_fbid=1812523775560118&id=136556343156878
Get Britain Out,,2019-05-07 12:21:00,"Theresa May looks set to concede a Customs Union to Jeremy Corbyn in Cross-Party talks in order to get her Deal passed. This is a disgrace!!  The British people do not want Theresa May's Deal and Parliament has rejected it 3 times. The British people did not vote for membership of a Customs Union. We voted to leave the EU and we expect that to be delivered! We want a No Deal, WTO Terms Brexit!!  https://www.thesun.co.uk/news/brexit/9016750/theresa-may-end-talks-with-labour/",980,312,13,2,1,3,649,381,1812501095562386,https://mbasic.facebook.com/story.php?story_fbid=1812501095562386&id=136556343156878
Get Britain Out,,2019-05-07 12:15:00,Theresa May's Brexit delay will cost a further £160 million in contracts to external consultants. We should have left on the 29th March with No Deal. We must stop wasting money on the Brexit process and immediately leave the EU on WTO Terms and begin trading with the rest of the world!!  https://www.politicshome.com/news/uk/foreign-affairs/brexit/news/103687/ministers-sign-fresh-round-brexit-contracts-worth-%C2%A3160m,1300,931,3,22,8,7,389,244,1812497185562777,https://mbasic.facebook.com/story.php?story_fbid=1812497185562777&id=136556343156878
Get Britain Out,,2019-05-07 11:55:00,Prince Charles has urged politicians to protect our historic bond with Germany in what many taking as Prince Charles favouring of a softer Brexit.  https://www.dailymail.co.uk/news/article-6998829/Prince-Charles-urges-politicians-protect-Britains-historic-bond-Germany.html,1100,145,135,2,19,12,885,1405,1812492368896592,https://mbasic.facebook.com/story.php?story_fbid=1812492368896592&id=136556343156878
Get Britain Out,,2019-05-07 11:40:39,"If Theresa May betrays her Party by concluding a Deal with Labour, Conservative MPs will seek to remove her this week! Her time as PM should have ended months ago! She must go and go NOW!  https://www.telegraph.co.uk/politics/2019/05/06/tory-mps-will-move-oust-theresa-may-week-agrees-brexit-deal/",3200,2800,68,143,9,1,217,864,1812487125563783,https://mbasic.facebook.com/story.php?story_fbid=1812487125563783&id=136556343156878
